[00:00:02 - 00:00:03] 因為這有點麻煩
[00:16:46 - 00:16:48] 他就是去那一趟啊
[00:16:48 - 00:16:49] 他回來那邊跟我們說
[00:16:49 - 00:16:50] 我靠北
[00:16:50 - 00:16:51] 結果那個朋友
[00:16:51 - 00:16:52] 早上要工作
[00:16:52 - 00:16:54] 他拿釘槍釘爪爪
[00:16:55 - 00:16:56] 真的
[00:16:56 - 00:16:57] 那個你都看不出來
[00:16:57 - 00:16:58] 他有坐過車
[00:17:00 - 00:17:01] 對啊
[00:17:01 - 00:17:02] 另外一個會寫
[00:17:02 - 00:17:04] ABS DPS的那一顆
[00:17:04 - 00:17:05] 有點不太正
[00:17:06 - 00:17:07] 他冷有點不太正
[00:17:07 - 00:17:08] 所以
[00:17:08 - 00:17:10] 他直接工具載一載嘛
[00:17:10 - 00:17:12] 他直接開到五嶺上面去
[00:17:12 - 00:17:14] 然後就開始在那邊跳
[00:17:14 - 00:17:16] 我們巴黎有沒有開始趕
[00:17:16 - 00:17:17] 對開始趕
[00:17:17 - 00:17:19] 趕一趕從上面從下
[00:17:19 - 00:17:20] 對啊
[00:17:20 - 00:17:21] 那邊寫
[00:17:21 - 00:17:22] 那邊寫DPS啊
[00:17:22 - 00:17:25] 欸我這樣會過嗎
[00:17:26 - 00:17:28] 真的有需要的話
[00:17:28 - 00:17:30] 真的可能抽出五本了
[00:17:30 - 00:17:32] 可以可以傳信息來問問看
[00:17:32 - 00:17:33] 好
[00:17:33 - 00:17:34] 那加個很多方式
[00:17:34 - 00:17:35] 蛤
[00:17:35 - 00:17:36] 加個很多方式
[00:17:36 - 00:17:37] 加你的啊
[00:17:37 - 00:17:38] 加五本
[00:17:38 - 00:17:40] 我跟你講我已經重量了
[00:17:40 - 00:17:42] 對啊我都TQC我有重量
[00:17:42 - 00:17:43] 對啊我都TQC我有重量
[00:17:43 - 00:17:44] 哈哈哈
[00:17:44 - 00:17:46] 喔對不對
[00:17:46 - 00:17:47] 對不對
[00:17:47 - 00:17:48] 對啊
[00:17:48 - 00:17:49] 對啊
[00:17:49 - 00:17:51] 我是說有什麼奇奇怪怪的方法的話
[00:17:51 - 00:17:52] 對啊
[00:17:52 - 00:17:54] 我都TQC可以去買菜就好了
[00:17:54 - 00:17:55] 哈哈哈
[00:17:57 - 00:18:10] 你們才剛大一
[00:18:10 - 00:18:13] 轉眼間
[00:18:13 - 00:18:15] 啊對喔我們現在大三了
[00:18:15 - 00:18:16] 大三喔
[00:18:16 - 00:18:17] 還有時間搞這個喔
[00:18:17 - 00:18:19] 大三有時間搞這個嗎
[00:18:19 - 00:18:20] 快沒時間了
[00:18:20 - 00:18:24] 台灣的車輛分業要靠你們了
[00:18:24 - 00:18:25] 好
[00:18:25 - 00:18:39] 回來歡迎你去來遊客啊
[00:18:39 - 00:18:43] 我們現在玩這個
[00:18:43 - 00:18:45] 以後可能真的去玩次世了
[00:18:45 - 00:18:46] 對啊
[00:18:46 - 00:18:49] 以後的時代應該玩車會有目標
[00:18:49 - 00:18:52] 畢竟又政府嘛
[00:18:52 - 00:18:54] 然後又世界環境趨勢嘛
[00:18:54 - 00:18:55] 又多電動車
[00:18:55 - 00:18:57] 然後油車就那樣
[00:18:57 - 00:18:59] 小牌讓人家再更多的
[00:18:59 - 00:19:02] 可是房車賽的改裝喔
[00:19:02 - 00:19:03] 我聽我那朋友講說
[00:19:03 - 00:19:06] 房車賽的改裝強的都台灣人
[00:19:06 - 00:19:07] 國外喔
[00:19:07 - 00:19:08] 不是那一種拿著電腦
[00:19:08 - 00:19:11] 那種木木的強的都是
[00:19:11 - 00:19:13] 台南應該台南只有木木來支援
[00:19:13 - 00:19:18] 對對對對
[00:19:18 - 00:19:19] 收益良多
[00:19:19 - 00:19:21] 學到太多東西了
[00:19:21 - 00:19:23] 玩車以前上大學
[00:19:23 - 00:19:24] 然後什麼車可以騎
[00:19:24 - 00:19:25] 老母
[00:19:25 - 00:19:28] 老母給你的買菜車拿來蓋啊
[00:19:28 - 00:19:29] 可是他們都騎新的啊
[00:19:29 - 00:19:30] 我怎麼辦法啊
[00:19:30 - 00:19:32] 對啊
[00:19:32 - 00:19:34] 騎新的啊
[00:19:34 - 00:19:35] 對啊對啊
[00:19:35 - 00:19:37] 我改老媽給我就買菜車啊
[00:19:37 - 00:19:45] 我騎兄弟我已經下牌子打了
[00:19:45 - 00:19:46] 車癮
[00:19:46 - 00:19:49] 呵呵呵呵
[00:19:49 - 00:19:52] 再見再見
[00:19:52 - 00:19:53] 這樣招生有興趣了
[00:19:53 - 00:19:55] 其實蠻多的
[00:19:55 - 00:19:58] 因為新車的改裝對不對
[00:19:58 - 00:20:01] 國外的改裝品要稍微看一下
[00:20:01 - 00:20:03] 譬如說
[00:20:03 - 00:20:09] 譬如說有一間改裝品
[00:20:09 - 00:20:12] 我不知道你們喜不喜歡
[00:20:12 - 00:20:13] 這一家這一家
[00:20:13 - 00:20:14] 這一家有沒有
[00:20:14 - 00:20:16] 有的時候就是說
[00:20:16 - 00:20:18] 因為領域都不一樣嘛
[00:20:18 - 00:20:20] 這就是在做甩尾車的
[00:20:20 - 00:20:21] 一直打打打
[00:20:21 - 00:20:22] 對
[00:20:22 - 00:20:23] 然後
[00:20:23 - 00:20:25] 我一個在做加工的朋友
[00:20:25 - 00:20:27] 把這個東西做出來
[00:20:27 - 00:20:29] 你怎麼沒做過這個
[00:20:30 - 00:20:31] 沒有
[00:20:31 - 00:20:32] 沒有
[00:20:32 - 00:20:33] 他把CAE的陀座拿來
[00:20:33 - 00:20:34] 做一支
[00:20:34 - 00:20:36] 叫我發現Gini是出牌的
[00:20:36 - 00:20:37] 阿咪送錢給他
[00:20:37 - 00:20:39] 呵呵呵
[00:20:39 - 00:20:40] 對
[00:20:40 - 00:20:41] 因為我有太多那種風俗的朋友
[00:20:41 - 00:20:42] 我想一想
[00:20:42 - 00:20:43] 我想開手牌
[00:20:43 - 00:20:44] 在家就把一千拿出來
[00:20:44 - 00:20:46] 我那套賣改不去啊
[00:20:46 - 00:20:47] 大家都
[00:20:47 - 00:20:49] 三哥半夜把它做是下一集
[00:20:49 - 00:20:50] 對
[00:20:50 - 00:20:52] 就不要鬧了好不好
[00:20:52 - 00:20:53] 呵呵呵
[00:20:53 - 00:20:54] 對啊
[00:20:54 - 00:20:55] 對啊對啊真的啊
[00:20:55 - 00:20:57] 那你們是不是要收東西啊
[00:20:57 - 00:20:58] 哦
[00:20:59 - 00:21:00] 沒關係
[00:21:00 - 00:21:01] 沒關係
[00:21:01 - 00:21:02] 好
[00:21:02 - 00:21:03] 好
[00:21:03 - 00:21:04] 真的有需要再說
[00:21:04 - 00:21:05] 好
[00:21:05 - 00:21:06] 謝謝
[00:21:06 - 00:21:07] 其實很盡量朝台南找
[00:21:07 - 00:21:08] 有一些東西
[00:21:08 - 00:21:09] 會陸上
[00:21:09 - 00:21:11] 看起來的感覺
[00:21:11 - 00:21:12] 就是會覺得說
[00:21:12 - 00:21:13] 有一些東西應該是
[00:21:13 - 00:21:15] 台南都找得到
[00:21:15 - 00:21:16] 你要用這個
[00:21:16 - 00:21:17] 可能會好一點
[00:21:17 - 00:21:18] 的感覺
[00:21:18 - 00:21:21] 對啊
[00:21:21 - 00:21:23] 我覺得會好一點
[00:21:23 - 00:21:24] 還有一些東西
[00:21:24 - 00:21:25] 看要不要找一些
[00:21:25 - 00:21:26] 摩托車上可以用的
[00:21:26 - 00:21:30] 像一些
[00:21:30 - 00:21:33] 他們有Driver嗎
[00:21:33 - 00:21:34] 我跟他們
[00:21:34 - 00:21:35] 就是每個人
[00:21:35 - 00:21:36] 不一定就是有一些人拍
[00:21:36 - 00:21:39] 我跟你講
[00:21:39 - 00:21:41] 你們沒有Driver可以這樣做
[00:21:41 - 00:21:43] 全部開完對不對
[00:21:43 - 00:21:45] 去講你最直觀的問題
[00:21:45 - 00:21:47] 然後拿筆記本來洗白話
[00:21:47 - 00:21:48] 對
[00:21:48 - 00:21:50] 以前我們在練摩托車是這樣做的
[00:21:50 - 00:21:54] 因為我根本不知道我的避震器在哪裡
[00:21:54 - 00:21:55] 是這樣
[00:21:55 - 00:21:57] 所以我都騎我的
[00:21:57 - 00:21:59] 他感覺不到後避震在哪裡
[00:21:59 - 00:22:01] 就是感覺不到後避震器在哪裡
[00:22:01 - 00:22:02] 對就是這樣子
[00:22:02 - 00:22:04] 因為那個時候我在練摩托車
[00:22:04 - 00:22:06] 我是拿NSA255在練車
[00:22:06 - 00:22:08] 我都拿那種很舊的車在練車
[00:22:08 - 00:22:09] 因為
[00:22:09 - 00:22:10] 我的想法就是
[00:22:10 - 00:22:11] 我有辦法騎
[00:22:11 - 00:22:12] 我把它住在
[00:22:12 - 00:22:15] 就像你玩槍戰遊戲吧
[00:22:15 - 00:22:16] 對不對
[00:22:16 - 00:22:17] 你有槍就可以上場
[00:22:17 - 00:22:18] 對不對
[00:22:18 - 00:22:19] 其實
[00:22:19 - 00:22:20] 後來前輩帶我們說
[00:22:20 - 00:22:21] 不可以這樣做
[00:22:21 - 00:22:22] 因為
[00:22:22 - 00:22:24] 你的動作會定型
[00:22:24 - 00:22:25] 對
[00:22:25 - 00:22:26] 你新車不會騎
[00:22:26 - 00:22:27] 不敢騎
[00:22:27 - 00:22:28] 對
[00:22:28 - 00:22:29] 瞭解
[00:22:29 - 00:22:30] 瞭解
[00:22:30 - 00:22:31] 那
[00:22:31 - 00:22:32] 因為你們沒有Driver的話
[00:22:32 - 00:22:33] 你們車子
[00:22:33 - 00:22:34] 其實
[00:22:34 - 00:22:35] 你要知道一個問題
[00:22:35 - 00:22:37] 它會叫廠車
[00:22:37 - 00:22:39] 廠車就是從0到0
[00:22:39 - 00:22:40] 但是
[00:22:40 - 00:22:41] 學生玩的
[00:22:41 - 00:22:43] 有一個特色就是
[00:22:43 - 00:22:44] 你們只能拿
[00:22:44 - 00:22:46] 其他
[00:22:46 - 00:22:47] 廠
[00:22:47 - 00:22:49] 生出來過的東西
[00:22:49 - 00:22:51] 去做成一台車
[00:22:51 - 00:22:52] 對
[00:22:52 - 00:22:54] 所以你們的體感沒有標準
[00:22:54 - 00:22:56] 可是也有標準
[00:22:56 - 00:22:58] 全部都下去開過
[00:22:58 - 00:23:00] 然後拿本質來計
[00:23:00 - 00:23:03] 你會一直找一直找一直找
[00:23:03 - 00:23:04] 找到一些問題
[00:23:04 - 00:23:06] 那硬體就是
[00:23:06 - 00:23:08] 你有辦法動的話
[00:23:08 - 00:23:10] 就都不要先修改
[00:23:10 - 00:23:12] 因為你會越修改越亂
[00:23:12 - 00:23:14] 對對對對對
[00:23:14 - 00:23:16] 車是這樣做的
[00:23:16 - 00:23:17] 那時候拿原廠車
[00:23:17 - 00:23:18] 下面練
[00:23:18 - 00:23:20] 一直練一直練練到最後
[00:23:20 - 00:23:22] 才會去改東西
[00:23:22 - 00:23:24] 瞭解
[00:23:24 - 00:23:26] 如果到時候你們真的換動力單元
[00:23:26 - 00:23:27] 那顆引擎
[00:23:27 - 00:23:29] 你們不想要再花太多錢的方式
[00:23:29 - 00:23:30] 就是
[00:23:30 - 00:23:31] 不管怎麼樣
[00:23:31 - 00:23:32] 雙缸平衡都要去做
[00:23:32 - 00:23:33] 用原廠電腦都沒有關係
[00:23:33 - 00:23:35] 但是雙缸平衡一定要做
[00:23:35 - 00:23:36] 不然那顆引擎
[00:23:36 - 00:23:37] 只會被拖壞而已
[00:23:37 - 00:23:38] 對對對
[00:23:38 - 00:23:39] 然後那個
[00:23:39 - 00:23:40] 你們在減速比
[00:23:40 - 00:23:42] 就是那個變速箱在傳動的那個
[00:23:42 - 00:23:43] 傳動的方式要去想一下
[00:23:43 - 00:23:45] 那個減速跟硬力相關的東西
[00:23:45 - 00:23:47] 這個你們應該比較清楚
[00:23:47 - 00:23:48] 那個我們不知道怎麼轉
[00:23:48 - 00:23:49] 對對對
[00:23:49 - 00:23:51] 不然摩托車那根爪其實
[00:23:51 - 00:23:53] 還是有蠻大的機率容易斷掉的
[00:23:53 - 00:23:54] 對對對
[00:23:54 - 00:23:55] 有可以轉的
[00:23:55 - 00:23:57] 對
[00:23:57 - 00:23:58] 所以應該到時候
[00:23:59 - 00:24:03] 差不多就這樣吧
[00:24:03 - 00:24:06] 沒有毛囉
[00:24:06 - 00:24:07] 沒有毛可以看
[00:24:07 - 00:24:08] 其實
[00:24:08 - 00:24:11] 其實這有文化社的
[00:24:13 - 00:24:15] 我現在看是文化社
[00:24:15 - 00:24:23] 像在南科的魷魚大堆
[00:24:23 - 00:24:24] 就是很多啦
[00:24:24 - 00:24:26] 對
[00:24:26 - 00:24:28] 所以各行各業都有
[00:24:28 - 00:24:43] 真的
[00:24:43 - 00:24:53] 對啊
[00:24:53 - 00:24:54] 你是在騎三小嗎
[00:24:54 - 00:24:55] 真的
[00:24:55 - 00:24:56] 真的
[00:24:58 - 00:24:59] 我們不要說好了
[00:24:59 - 00:25:00] 不要說好了
[00:25:00 - 00:25:02] 第一輪開都沒有辦法
[00:25:02 - 00:25:03] 沒有啦畢竟到
[00:25:03 - 00:25:09] 好了
[00:25:09 - 00:25:10] OK啦
[00:25:10 - 00:25:11] 好
[00:25:11 - 00:25:12] 謝謝
[00:25:12 - 00:25:13] OKOK
[00:25:13 - 00:25:20] 要等你吃飯了
[00:25:20 - 00:25:21] 都記起來了嗎
